Dateiname	ark	dc:identifier	dc:title	dc:creator	dc:publisher	dc:date	dc:format	dc:language	dc:relation	dc:source	dc:description	provenance	sdewey	dewey	typedoc	nqamoyen	first_indexation_date	Pfad	GUID
Grimod de La Reynière_L'Alambic littéraire, ou Analyses raisonnées	ark__12148_bpt6k9800433h	https://gallica.bnf.fr/ark:/12148/bpt6k9800433h	L'Alambic littéraire, ou Analyses raisonnées d'un grand nombre d'ouvrages publiés récemment. Tome 2 	Grimod de La Reynière, Alexandre-Balthazar-Laurent (1758-1837)	''''''lauteur (Paris)'''', Maradan (Paris), Desenne etc. (Paris)''	1803	2 vol. (VIII-400 ; 408 p.) ; in-8, Nombre total de vues : 424	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30543068d'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30543068d']''	Bibliothèque nationale de France, département Littérature et art, Z-29738	Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	985.0	2017-09-30T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k9800433h.html	44affbf6-8763-4abf-874b-487ed6f772bf
Cazotte_Oeuvres badines et morales, historiques	ark__12148_bpt6k97434265	https://gallica.bnf.fr/ark:/12148/bpt6k97434265	Oeuvres badines et morales, historiques et philosophiques de Jacques Cazotte. Tome 1 	Cazotte, Jacques (1719-1792)	J.-F. Bastien (Paris)	1817	4 vol., pl. ; in-8, Nombre total de vues : 584	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb302107105'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb302107105']''	Bibliothèque nationale de France, département Littérature et art, Z-29378	Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	985.0	2016-09-18T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k97434265.html	0e6b10e0-825f-47df-98ad-505879f7574b
Cottin_Sophie de Monnier et Mirabeau,	ark__12148_bpt6k9745528z	https://gallica.bnf.fr/ark:/12148/bpt6k9745528z	Sophie de Monnier et Mirabeau, d'après leur correspondance secrète inédite (1775-1789) : avec 3 portraits, dont un en héliogravure d'après Heinsius, 2 fac-similés d'autographes, une table déchiffrante et un plan du couvent des Saintes-Claires de Gien 	Cottin, Paul (1856-1932), Monnier, Sophie (1754-1789 ; marquise de)	Plon-Nourrit et Cie (Paris)	1903	1 vol. (CCLX-282 p.) : portraits, fig. et fac-similés ; in-8, Nombre total de vues : 573	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30277394v	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-49717	Contient une table des matières, Avec mode texte	bnf.fr	92.0	9.0	monographie	9933.0	2016-10-02T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k9745528z.html	ea009a59-54a6-4971-8616-a11bfc24c757
Saint-Simon_Mémoires complets et authentiques du	ark__12148_bpt6k5830127r	https://gallica.bnf.fr/ark:/12148/bpt6k5830127r	Mémoires complets et authentiques du duc de Saint-Simon sur le siècle de Louis XIV et la Régence. Illustrés par Janet-Lange, Foulquier et Pauquet. Série 31,Partie 3	Saint-Simon, Louis de Rouvroy duc de (1675-1755)	(Paris)		5 séries en 5 vol. in-fol., fig., couv. ill.	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31285310v'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb11946624s', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31285310v']''	Bibliothèque nationale de France, département Littérature et art, Z-9696	Mémoires (français)	bnf.fr			monographie	9581.0	2010-04-11T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5830127r.html	3590983d-5a73-48ca-a315-fcee1ff39bf9
Chénier_Tableau historique de l'état et	ark__12148_bpt6k6470299x	https://gallica.bnf.fr/ark:/12148/bpt6k6470299x	Tableau historique de l'état et des progrès de la littérature française depuis 1789 ; par M.-J. de Chénier. 3e édition	Chénier, Marie-Joseph de (1764-1811), Miger, Pierre-Auguste-Marie (1771-1837)	Maradan (Paris)	1818	422-16 p. ; in-8, Nombre total de vues : 466	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb302329516	Bibliothèque nationale de France, département Littérature et art, Z-28418	''''''Comprend : Table alphabétique des auteurs anciens et modernes mentionnés dans le Tableau historique de létat et des progrès de la littérature française depuis 1789'''', Contient une table des matières, Avec mode texte''	bnf.fr	80.0	8.0	monographie	9956.0	2013-04-03T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6470299x.html	f643ea61-84d2-42e2-914f-63ce6597ce50
Galland_Du retour des Bourbons en	ark__12148_bpt6k5796103m	https://gallica.bnf.fr/ark:/12148/bpt6k5796103m	Du retour des Bourbons en France et du gouvernement paternel de Louis XVIII , par A. Galland, membre de la commission des sciences et arts d'Égypte	Galland, Antoine (1763-1851)	chez lauteur (Paris)	1815	In-8° , 30 p., Nombre total de vues : 38	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30476365c	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB45-456	Avec mode texte	bnf.fr	84.0	8.0	monographie	9998.0	2010-10-17T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5796103m.html	d8e6d0ea-d296-4f93-95a2-0883407e504c
Molière (1622-1673)_Oeuvres complètes de Molière :	ark__12148_bpt6k5720917m	https://gallica.bnf.fr/ark:/12148/bpt6k5720917m	Oeuvres complètes de Molière : accompagnées de notes tirées de tous les commentateurs avec de remarques nouvelles (Nouvelle édition) 	Molière (1622-1673), Voltaire (1694-1778), La Harpe, Jean François de (1739-1803), Auger, Louis-Simon (1772-1829)	Garnier frères (Paris)	1884	3 vol. (XXXVI-496, 557, 502 p.) ; 19 cm, Nombre total de vues : 510	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb40142201v	Bibliothèque nationale de France, département Littérature et art, 8-YF-144 (3)	Comprend : Vie de Molière ; Molière et la comédie ; Extraits du Discours sur la comédie, Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	9998.0	2009-10-04T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5720917m.html	09a0d0db-b4f9-4d3f-943a-b9fca6456dc0
Delille_Oeuvres de J. Delille (2e	ark__12148_bpt6k9749820x	https://gallica.bnf.fr/ark:/12148/bpt6k9749820x	Oeuvres de J. Delille (2e édition) 	Delille, Jacques (1738-1813), Virgile (0070-0019 av. J.-C.), Virgile (0070-0019 av. J.-C.), Milton, John (1608-1674)	Lefèvre (Paris)	1833	1 vol. (VIII-914 p.) : portr. ; Gr. in-8, Nombre total de vues : 950	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb452597986	Bibliothèque nationale de France, département Littérature et art, YE-2500	Comprend : Les Géorgiques ; Énéide ; Paradis perdus, Contient une table des matières, Avec mode texte	bnf.fr	84.0	8.0	monographie	9866.0	2016-10-09T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k9749820x.html	ab86d32f-0e7d-44e6-8d14-0bb26578db55
Brulat_Pour tous les yeux :	ark__12148_bpt6k931701c	https://gallica.bnf.fr/ark:/12148/bpt6k931701c	Pour tous les yeux : attrayante et saine littérature à lire et à relire	Brulat, Paul (1866-1940), Boyer-Rebiab, Louis (1874-19..), Voltaire (1694-1778), Musset, Alfred de (1810-1857)	(Paris)	1907	16 p. ; in-16, Nombre total de vues : 20	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31881190v	Bibliothèque nationale de France, département Littérature et art, 8-Z-6399	''Collection : Collection Paul Brulat et Boyer-Rebiab, Collection : Collection Paul Brulat et Boyer-Rebiab, ''''Comprend : Un prisonnier au château dIf ; Fernanda ; Athéisme ; Lucie'''', Avec mode texte''	bnf.fr	84.0	8.0	monographie	8772.0	2016-05-08T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k931701c.html	5ab415b7-cfe3-4c7a-90f6-814e402bdd71
Voltaire (1694-1778)_Mon séjour auprès de Voltaire	ark__12148_bpt6k58417512	https://gallica.bnf.fr/ark:/12148/bpt6k58417512	Mon séjour auprès de Voltaire et lettres inédites que m'écrivit cet homme célèbre jusqu'à la dernière année de sa vie . Par Come Alexandre Collini,... Ouvrage posthume contenant des anecdotes et des particularités peu connues sur la vie privée et sur les oeuvres du plus célèbre écrivain du 18e. siècle, augmenté de plusieurs lettres inédites de Voltaire à l'Électeur palatin, au comédien Lanoue, à Mlle. Dumesnil, et de quelques lettres de Mme Denis, sa nièce.	Voltaire (1694-1778), Denis, Louise (1712-1790), Collini, Cosimo Alessandro (1727-1806)	L. Collin (Paris)	1807	In-8° , XVI-373 p. (Bengesco, n 1968.), Nombre total de vues : 404	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30258743w	Bibliothèque nationale de France, département Littérature et art, Z-15300	Comprend : Quelques lettres..., Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	8252.0	2010-06-27T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k58417512.html	6cd992d8-384b-4b1a-afe8-6f80729fa9d4
Delille_La pitié, poëme par Jacques	ark__12148_bpt6k54457194	https://gallica.bnf.fr/ark:/12148/bpt6k54457194	La pitié, poëme par Jacques Delille. Avec quatre figures	Delille, Jacques (1738-1813)	A Paris, chez Giguet et Michaud. 1803-an XI	1803	6, 243 p., 4 f. de pl. gr.s.c. ; in-18, Nombre total de vues : 254	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30317881t	Bibliothèque nationale de France, département Littérature et art, YE-19859	Avec mode texte	bnf.fr	80.0	8.0	monographie	9191.0	2008-09-29T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k54457194.html	2bb66456-705b-46c4-8de3-2d9d0b398682
Florian_400 coups d'un gamin de	ark__12148_bpt6k6515179z	https://gallica.bnf.fr/ark:/12148/bpt6k6515179z	400 coups d'un gamin de Paris 	Florian, Jean-Pierre Claris de (1755-1794)	Tallandier (Paris)	1932	64 p. : ill., couv. ill. en coul. ; in-fol., Nombre total de vues : 76	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb43530278v	Ville de Paris / Fonds Heure joyeuse, 2013-37668	Contient une table des matières, Avec mode texte	bnf.fr	84.0	8.0	monographie	9993.0	2013-03-25T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6515179z.html	65586943-6c06-45dd-b4ae-58f3a312ef5b
Marivaux_La vie de Marianne. précédée	ark__12148_bpt6k423605v	https://gallica.bnf.fr/ark:/12148/bpt6k423605v	La vie de Marianne. précédée d'une notice par M. de Lescure. T3 	Marivaux, Pierre de (1688-1763), Lescure, Adolphe de (1833-1892)	(Paris)	1882	3 vol. : frontisp. gr. ; in-16, Nombre total de vues : 290	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30886616w'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb120655399', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30886616w']''	Bibliothèque nationale de France, département Littérature et art, 8-Z-1628 (5,3)	La vie de Marianne (français), Collection : Bibliothèque des dames ; 5, Collection : Bibliothèque des dames ; 5, Comprend : Marivaux romancier	bnf.fr	84.0	8.0	monographie	9679.0	2008-03-02T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k423605v.html	1e9c41a4-3211-4eb5-80b8-5c4d2b519ec7
Barthélemy_Voyage du jeune Anacharsis en	ark__12148_bpt6k9204644	https://gallica.bnf.fr/ark:/12148/bpt6k9204644	Voyage du jeune Anacharsis en Grèce dans le milieu du quatrième siècle avant l'ère vulgaire. Tome 1 	Barthélemy, Jean-Jacques (1716-1795)	(Paris)	1893	2 vol. (464, 471 p. ; 19 cm, Nombre total de vues : 480	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30062025f'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb14868457b', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30062025f']''	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-J-1993 (1)	Voyage du jeune Anarcharsis en Grèce (français), Avec mode texte	bnf.fr	93.0	9.0	monographie	8884.0	2015-09-27T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k9204644.html	baf9c42d-39ae-4a73-a255-aad901b86e13
Chateaubriand_Beautés de Chateaubriand ou Morceaux	ark__12148_bpt6k97798141	https://gallica.bnf.fr/ark:/12148/bpt6k97798141	Beautés de Chateaubriand ou Morceaux choisis des Martyrs et du Génie du christianisme : suivis des beautés du théâtre classique français, ou Choix des passages les plus remarquables à l'usage des élèves des collèges ou lycées et des écoles ecclésiastiques de Corneille, Racine, Voltaire et Molière... 	Chateaubriand, François-René de (1768-1848), Molière (1622-1673), Racine, Jean (1639-1699), Voltaire (1694-1778)	Vve J.-P. Aillaud, Guillard (Paris), N. A. Alves (Rio de Janeiro)	1874	1 vol. (356 p.) ; in-18, Nombre total de vues : 376	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb302275873	Bibliothèque nationale de France, département Littérature et art, Z-45083	Comprend : Le Misanthrope ; Britannicus, Esther, Athalie ; Mérope, Contient une table des matières, Avec mode texte	bnf.fr	84.0	8.0	monographie	9918.0	2017-06-04T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k97798141.html	7a59737e-2957-4e5b-8102-7fa12245ea5d
Voltaire (1694-1778)_Lettres chinoises, indiennes et tartares	ark__12148_bpt6k123126r	https://gallica.bnf.fr/ark:/12148/bpt6k123126r	Lettres chinoises, indiennes et tartares à Monsieur Paw , par un bénédictin, avec plusieurs autres pièces intéressantes	Voltaire (1694-1778), Boufflers, Stanislas-Jean de (1738-1815)	(Londres Amsterdam)	1776	184 p. ; in-8, Nombre total de vues : 399	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31605411h'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31605411h']''	Bibliothèque nationale de France, département Littérature et art, Z-15570-15572	Comprend : Lettres de M. le chevalier de Boufflers, pendant son voyage en Suisse, à madame sa mère, avec des notes, Avec mode texte	bnf.fr	84.0	8.0	monographie	9016.0	2008-10-01T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k123126r.html	ff909c28-709b-4ee5-a1b0-797b0e0262bf
Buffon_Le Buffon illustré à l'usage	ark__12148_bpt6k883901j	https://gallica.bnf.fr/ark:/12148/bpt6k883901j	Le Buffon illustré à l'usage de la jeunesse : contenant une description très complète des mammifères, oiseaux, poissons, reptiles, insectes et coquilles 	Buffon, Georges-Louis Leclerc comte de (1707-1788), Bordot, Anatole (1833-19..?)	Librairie de Theodore Lefevre (Paris), E. Guérin (Paris)	1896	1 vol. (314 p.) : fig. ; in-4, Nombre total de vues : 328	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30174305h	Bibliothèque nationale de France, département Sciences et techniques, 4-S-1637	Appartient à l’ensemble documentaire : UnivJeun0, Avec mode texte	bnf.fr	59.0	5.0	monographie	8908.0	2012-12-02T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k883901j.html	d844a562-13c8-40c0-a020-9a5ec8844968
Beaumarchais_Mémoires de Beaumarchais dans l'Affaire	ark__12148_bpt6k5452641z	https://gallica.bnf.fr/ark:/12148/bpt6k5452641z	''Mémoires de Beaumarchais dans l'Affaire Goezman (Nouvelle édition collationnée avec le plus grand soin sur les éditions originales et précédée d'une appréciation tirée des ''''Causeries du lundi'''')''	Beaumarchais, Pierre-Augustin Caron de (1732-1799), Sainte-Beuve, Charles-Augustin (1804-1869)	(Paris)	1878	1 vol. (XVI-411 p.) ; in-18, Nombre total de vues : 438	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300727305	Bibliothèque nationale de France, département Droit, économie, politique, 8-F-624	''Comprend : Appréciation tirée des ''''Causeries du lundi'''', Avec mode texte''	bnf.fr	34.0	3.0	monographie	9711.0	2008-11-03T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5452641z.html	54b21928-a95e-49f4-9947-e8bfc4c895bb
Dubois_Le Buffon des familles :	ark__12148_bpt6k30789856	https://gallica.bnf.fr/ark:/12148/bpt6k30789856	Le Buffon des familles : histoire et description des animaux, extraites des oeuvres de Buffon et de Lacépède 	Dubois, Nicolas-Auguste (1799-187.?), Buffon, Georges-Louis Leclerc comte de (1707-1788), Lacépède, Étienne de (1756-1825)	(Paris)	1883	1 vol. (III-645 p.) : pl. et fig. ; in-4, Nombre total de vues : 660	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30359257m	Bibliothèque nationale de France, département Sciences et techniques, 4-S-475	Avec mode texte	bnf.fr	59.0	5.0	monographie	8949.0	2019-09-28T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k30789856.html	a108641e-68cf-4847-ab11-6c83c1101b3f
Séguin_Jacob Rodrigues Péreire, premier instituteur	ark__12148_bpt6k57803124	https://gallica.bnf.fr/ark:/12148/bpt6k57803124	Jacob Rodrigues Péreire, premier instituteur des sourds et muets en France (1744-1780)... : notice sur sa vie et ses travaux, et analyse raisonnée de sa méthode	Séguin, Édouard (1812-1880), Buffon, Georges-Louis Leclerc comte de (1707-1788)	(Paris)	1847	355 p. ; in-8, Nombre total de vues : 366	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30174312s	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-16036	Comprend : Éloge de la méthode (de Jacob Rodrigues Péreire), Contient une table des matières, Avec mode texte	bnf.fr	1.0	0.0	monographie	9998.0	2009-11-29T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k57803124.html	6ba25eeb-fbf4-45c6-bc9f-abd798255dcb
Du Deffand_Correspondance complète de la Marquise	ark__12148_bpt6k206388r	https://gallica.bnf.fr/ark:/12148/bpt6k206388r	Correspondance complète de la Marquise Du Deffand avec ses amis le président Hénault, Montesquieu, d'Alembert, Voltaire, Horace Walpole : classée dans l'ordre chronologique et sans suppressions, augmentée des lettres inédites au chevalier de L'Isle, précédée d'une histoire de sa vie, de son salon, de ses amis, suivie de ses oeuvres diverses et éclairée de nombreuses notes. T. 1 	Du Deffand, Marie (1697-1780)	(Paris)	1865	2 vol. : portr., fac-sim. ; in-8, Nombre total de vues : 838	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30367190w'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30367190w']''	Bibliothèque nationale de France	Appartient à l’ensemble documentaire : GTextes1, Correspondance	bnf.fr	84.0	8.0	monographie	9313.0	2007-10-14T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k206388r.html	788a3943-5a54-4afa-a36a-da585b539b8f
Goethe_Les veillées littéraires illustrées. T.	ark__12148_bpt6k5696663c	https://gallica.bnf.fr/ark:/12148/bpt6k5696663c	Les veillées littéraires illustrées. T. I : choix de romans, nouvelles, poésies, pièces de théâtre etc., etc., des meilleurs écrivains anciens et modernes	Goethe, Johann Wolfgang von (1749-1832), Gilbert, Nicolas-Joseph-Laurent (1750-1780), Constant, Benjamin (1767-1830), Florian, Jean-Pierre Claris de (1755-1794), Sterne, Laurence (1713-1768), Esquiros, Alphonse (1812-1876), Maistre, Xavier de (1763-1852), Maistre, Xavier de (1763-1852), Esquiros, Alphonse (1812-1876), Rouget de Lisle, Claude Joseph (1760-1836), Chénier, Marie-Joseph de (1764-1811), Goldsmith, Oliver (1730?-1774), Esquiros, Alphonse (1812-1876), Cazotte, Jacques (1719-1792), Franklin, Benjamin (1706-1790), Crébillon, Claude-Prosper de (1707-1777), Gastineau, Benjamin (1823-1904), Tressan, Louis-Élisabeth de La Vergne (1705-1783 ; comte de), Lachambeaudie, Pierre (1806-1872), Bonaparte, Lucien (1775-1840), Duras, Claire de (1777-1828), Duras, Claire de (1777-1828), Cottin, Sophie (1770-1807), Lachambeaudie, Pierre (1806-1872), Sandeau, Jules (1811-1883), Baudelaire, Charles (1821-1867), Bougarre, Léopold. , Bonaparte, Pierre Napoléon (1815-1881), Lacroix, Paul (1806-1884)	J. Bry aîné (Paris)	1849	17 fasc. reliés en 1 vol. : ill. ; 32 cm, Nombre total de vues : 488	français	['Périodique lié : Les Veillées littéraires illustrées(ISSN 2025-4423), 1849 (Notice : http://catalogue.bnf.fr/ark:/12148/cb41954864m)', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30525450h']	Bibliothèque nationale de France, département Littérature et art, Z-10195 (1-17)	Avec mode texte	bnf.fr	84.0	8.0	monographie	9256.0	2009-08-16T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5696663c.html	fdb9ef27-25c9-4ea8-b97d-81993daa4e30
